"Ensembl_gene_identifier","Symbol","type_of_gene"
"ENSG00000243064","ABCC13","pseudo"
"ENSG00000157578","LCA5L","protein-coding"
"ENSG00000183067","IGSF5","protein-coding"
"ENSG00000142178","SIK1","protein-coding"
"ENSG00000236384","LINC00479","ncRNA"
"ENSG00000237232","ZNF295-AS1","ncRNA"
"ENSG00000184385","UMODL1-AS1","ncRNA"
"ENSG00000164037","SLC9B1","protein-coding"
"ENSG00000198445","CCT8L2","protein-coding"
"ENSG00000172967","XKR3","protein-coding"
"ENSG00000236499","LINC00896","ncRNA"
"ENSG00000183773","AIFM3","protein-coding"
"ENSG00000183246","RIMBP3C","protein-coding"
"ENSG00000161179","YDJC","protein-coding"
"ENSG00000169314","C22orf15","protein-coding"
"ENSG00000100209","HSCB","protein-coding"
"ENSG00000159873","CCDC117","protein-coding"
"ENSG00000176635","HORMAD2","protein-coding"
"ENSG00000167065","DUSP18","protein-coding"
"ENSG00000235989","MORC2-AS1","ncRNA"
"ENSG00000205856","C22orf42","protein-coding"
"ENSG00000176177","ENTHD1","protein-coding"
"ENSG00000172404","DNAJB7","protein-coding"
"ENSG00000100399","CHADL","protein-coding"
"ENSG00000167077","MEI1","protein-coding"
"ENSG00000177096","PHETA2","protein-coding"
"ENSG00000235568","NFAM1","protein-coding"
"ENSG00000100341","PNPLA5","protein-coding"
"ENSG00000205643","CDPF1","protein-coding"
"ENSG00000277232","GTSE1-DT","ncRNA"
"ENSG00000114999","TTL","protein-coding"
"ENSG00000169607","CKAP2L","protein-coding"
"ENSG00000136682","CBWD2","protein-coding"
"ENSG00000163060","TEKT4","protein-coding"
"ENSG00000183292","PRSS40A","pseudo"
"ENSG00000225953","SATB2-AS1","ncRNA"
"ENSG00000235597","LINC01102","ncRNA"
"ENSG00000115593","SMYD1","protein-coding"
"ENSG00000232084","LINC01104","ncRNA"
"ENSG00000273045","C2orf15","protein-coding"
"ENSG00000162947","LINC01931","ncRNA"
"ENSG00000178602","OTOS","protein-coding"
"ENSG00000172428","COPS9","protein-coding"
"ENSG00000178586","OR6B3","protein-coding"
"ENSG00000173163","COMMD1","protein-coding"
"ENSG00000155066","PROM2","protein-coding"
"ENSG00000151687","ANKAR","protein-coding"
"ENSG00000163013","FBXO41","protein-coding"
"ENSG00000196659","TTC30B","protein-coding"
"ENSG00000186281","GPAT2","protein-coding"
"ENSG00000198885","ITPRIPL1","protein-coding"
"ENSG00000152117","SMPD4BP","pseudo"
"ENSG00000233087","RAB6D","protein-coding"
"ENSG00000138439","FAM117B","protein-coding"
"ENSG00000163792","TCF23","protein-coding"
"ENSG00000157833","GAREM2","protein-coding"
"ENSG00000162927","PUS10","protein-coding"
"ENSG00000260804","LINC01963","ncRNA"
"ENSG00000230923","LINC00309","ncRNA"
"ENSG00000186522","SEPTIN10","protein-coding"
"ENSG00000144445","KANSL1L","protein-coding"
"ENSG00000163803","PLB1","protein-coding"
"ENSG00000163012","ZSWIM2","protein-coding"
"ENSG00000204460","LINC01854","ncRNA"
"ENSG00000144331","ZNF385B","protein-coding"
"ENSG00000225493","LINC01107","ncRNA"
"ENSG00000186235","LINC02610","ncRNA"
"ENSG00000178752","ERFE","protein-coding"
"ENSG00000177917","ARL6IP6","protein-coding"
"ENSG00000144401","METTL21A","protein-coding"
"ENSG00000163249","CCNYL1","protein-coding"
"ENSG00000213160","KLHL23","protein-coding"
"ENSG00000237223","SULT1C2P1","pseudo"
"ENSG00000150722","PPP1R1C","protein-coding"
"ENSG00000163535","SGO2","protein-coding"
"ENSG00000155754","C2CD6","protein-coding"
"ENSG00000169507","SLC38A11","protein-coding"
"ENSG00000163081","CCDC140","ncRNA"
"ENSG00000213901","SLC23A3","protein-coding"
"ENSG00000179921","GPBAR1","protein-coding"
"ENSG00000144199","FAHD2B","protein-coding"
"ENSG00000239649","MYADML","pseudo"
"ENSG00000162981","LRATD1","protein-coding"
"ENSG00000115841","RMDN2","protein-coding"
"ENSG00000143869","GDF7","protein-coding"
"ENSG00000163053","SLC16A14","protein-coding"
"ENSG00000226125","LINC01907","ncRNA"
"ENSG00000181798","LINC00471","ncRNA"
"ENSG00000232520","GCSIR","ncRNA"
"ENSG00000224287","MSL3P1","pseudo"
"ENSG00000244617","ASPRV1","protein-coding"
"ENSG00000196151","WDSUB1","protein-coding"
"ENSG00000007001","UPP2","protein-coding"
"ENSG00000257702","LBX2-AS1","ncRNA"
"ENSG00000163328","GPR155","protein-coding"
"ENSG00000163728","TTC14","protein-coding"
"ENSG00000163840","DTX3L","protein-coding"
"ENSG00000163377","TAFA4","protein-coding"
"ENSG00000129810","SGO1","protein-coding"
"ENSG00000183977","PP2D1","protein-coding"
"ENSG00000163576","EFHB","protein-coding"
"ENSG00000241469","LINC00635","ncRNA"
"ENSG00000163590","PPM1L","protein-coding"
"ENSG00000174776","WDR49","protein-coding"
"ENSG00000171757","LRRC34","protein-coding"
"ENSG00000144550","CPNE9","protein-coding"
"ENSG00000163530","DPPA2","protein-coding"
"ENSG00000272610","MAGI1-IT1","ncRNA"
"ENSG00000091986","CCDC80","protein-coding"
"ENSG00000186265","BTLA","protein-coding"
"ENSG00000160799","CCDC12","protein-coding"
"ENSG00000180611","MB21D2","protein-coding"
"ENSG00000163605","PPP4R2","protein-coding"
"ENSG00000173950","XXYLT1","protein-coding"
"ENSG00000137075","RNF38","protein-coding"
"ENSG00000122694","GLIPR2","protein-coding"
"ENSG00000114547","ROPN1B","protein-coding"
"ENSG00000224074","LINC00691","ncRNA"
"ENSG00000270194","LOC152048","ncRNA"
"ENSG00000180697","C3orf22","protein-coding"
"ENSG00000174899","SLC66A1L","protein-coding"
"ENSG00000206559","ZCWPW2","protein-coding"
"ENSG00000283563","ZCWPW2","protein-coding"
"ENSG00000187118","CMC1","protein-coding"
"ENSG00000163491","NEK10","protein-coding"
"ENSG00000237787","LINC02877","ncRNA"
"ENSG00000152492","CCDC50","protein-coding"
"ENSG00000253548","PYDC2","protein-coding"
"ENSG00000163611","SPICE1","protein-coding"
"ENSG00000285943","SPICE1","protein-coding"
"ENSG00000170293","CMTM8","protein-coding"
"ENSG00000246082","NUDT16P1","pseudo"
"ENSG00000244607","CCDC13","protein-coding"
"ENSG00000270170","NCBP2AS2","protein-coding"
"ENSG00000214407","LINC02085","ncRNA"
"ENSG00000154783","FGD5","protein-coding"
"ENSG00000260902","LINC02011","ncRNA"
"ENSG00000186162","CIDECP1","pseudo"
"ENSG00000144619","CNTN4","protein-coding"
"ENSG00000144847","IGSF11","protein-coding"
"ENSG00000163424","TEX55","protein-coding"
"ENSG00000151612","ZNF827","protein-coding"
"ENSG00000109686","SH3D19","protein-coding"
"ENSG00000170448","NFXL1","protein-coding"
"ENSG00000163293","NIPAL1","protein-coding"
"ENSG00000163291","PAQR3","protein-coding"
"ENSG00000178343","SHISA3","protein-coding"
"ENSG00000250302","LINC01618","ncRNA"
"ENSG00000184178","SCFD2","protein-coding"
"ENSG00000205301","MGAT4D","protein-coding"
"ENSG00000251359","WWC2-AS2","ncRNA"
"ENSG00000272602","ZNF595","protein-coding"
"ENSG00000248698","LINC01085","ncRNA"
"ENSG00000250486","FAM218A","ncRNA"
"ENSG00000152969","JAKMIP1","protein-coding"
"ENSG00000174796","THAP6","protein-coding"
"ENSG00000174792","ODAPH","protein-coding"
"ENSG00000134962","KLB","protein-coding"
"ENSG00000174137","FAM53A","protein-coding"
"ENSG00000163644","PPM1K","protein-coding"
"ENSG00000164123","C4orf45","protein-coding"
"ENSG00000155275","TRMT44","protein-coding"
"ENSG00000138670","RASGEF1B","protein-coding"
"ENSG00000136848","DAB2IP","protein-coding"
"ENSG00000177058","SLC38A9","protein-coding"
"ENSG00000250328","MGC32805","ncRNA"
"ENSG00000186335","SLC36A2","protein-coding"
"ENSG00000214510","SPINK13","protein-coding"
"ENSG00000164463","CREBRF","protein-coding"
"ENSG00000168944","CEP120","protein-coding"
"ENSG00000145832","SLC25A48","protein-coding"
"ENSG00000174695","TMEM167A","protein-coding"
"ENSG00000176055","MBLAC2","protein-coding"
"ENSG00000164180","TMEM161B","protein-coding"
"ENSG00000151304","SRFBP1","protein-coding"
"ENSG00000280780","JAKMIP2-AS1","ncRNA"
"ENSG00000153404","PLEKHG4B","protein-coding"
"ENSG00000146007","ZMAT2","protein-coding"
"ENSG00000152939","MARVELD2","protein-coding"
"ENSG00000186493","C5orf38","protein-coding"
"ENSG00000170561","IRX2","protein-coding"
"ENSG00000165810","BTNL9","protein-coding"
"ENSG00000164291","ARSK","protein-coding"
"ENSG00000153347","FAM81B","protein-coding"
"ENSG00000205838","TTC23L","protein-coding"
"ENSG00000215068","LOC153684","ncRNA"
"ENSG00000164221","CCDC112","protein-coding"
"ENSG00000231989","PPP1R2B","protein-coding"
"ENSG00000170613","FAM71B","protein-coding"
"ENSG00000186314","PRELID2","protein-coding"
"ENSG00000156463","SH3RF2","protein-coding"
"ENSG00000173261","PLAC8L1","protein-coding"
"ENSG00000145860","RNF145","protein-coding"
"ENSG00000236366","LOC153910","ncRNA"
"ENSG00000118491","ZC2HC1B","protein-coding"
"ENSG00000168566","SNRNP48","protein-coding"
"ENSG00000153721","CNKSR3","protein-coding"
"ENSG00000155918","RAET1L","protein-coding"
"ENSG00000164483","SAMD3","protein-coding"
"ENSG00000146411","SLC2A12","protein-coding"
"ENSG00000236700","LINC01010","ncRNA"
"ENSG00000172197","MBOAT1","protein-coding"
"ENSG00000112273","HDGFL1","protein-coding"
"ENSG00000146453","PNLDC1","protein-coding"
"ENSG00000146373","RNF217","protein-coding"
"ENSG00000188580","NKAIN2","protein-coding"
"ENSG00000203908","KHDC3L","protein-coding"
"ENSG00000272514","CFAP206","protein-coding"
"ENSG00000164385","LINC01600","ncRNA"
"ENSG00000203808","BVES-AS1","ncRNA"
"ENSG00000230960","LOC154449","ncRNA"
"ENSG00000198937","CCDC167","protein-coding"
"ENSG00000105784","RUNDC3B","protein-coding"
"ENSG00000179869","ABCA13","protein-coding"
"ENSG00000164603","BMT2","protein-coding"
"ENSG00000253882","LOC154761","pseudo"
"ENSG00000236279","CLEC2L","protein-coding"
"ENSG00000164898","FMC1","protein-coding"
"ENSG00000126016","AMOT","protein-coding"
"ENSG00000196715","VKORC1L1","protein-coding"
"ENSG00000166025","AMOTL1","protein-coding"
"ENSG00000231419","LINC00689","ncRNA"
"ENSG00000230316","FEZF1-AS1","ncRNA"
"ENSG00000164675","IQUB","protein-coding"
"ENSG00000275356","C7orf77","protein-coding"
"ENSG00000243335","KCTD7","protein-coding"
"ENSG00000214128","TMEM213","protein-coding"
"ENSG00000171115","GIMAP8","protein-coding"
"ENSG00000127377","CRYGN","protein-coding"
"ENSG00000204947","ZNF425","protein-coding"
"ENSG00000244560","LOC155060","pseudo"
"ENSG00000181220","ZNF746","protein-coding"
"ENSG00000171130","ATP6V0E2","protein-coding"
"ENSG00000197241","SLC2A7","protein-coding"
"ENSG00000174945","AMZ1","protein-coding"
"ENSG00000165171","METTL27","protein-coding"
"ENSG00000225648","SBDSP1","pseudo"
"ENSG00000176428","VPS37D","protein-coding"
"ENSG00000223705","NSUN5P1","pseudo"
"ENSG00000184863","RBM33","protein-coding"
"ENSG00000173467","AGR3","protein-coding"
"ENSG00000248538","LOC157273","ncRNA"
"ENSG00000275342","PRAG1","protein-coding"
"ENSG00000134020","PEBP4","protein-coding"
"ENSG00000184661","CDCA2","protein-coding"
"ENSG00000253868","FER1L6-AS2","ncRNA"
"ENSG00000164983","TMEM65","protein-coding"
"ENSG00000249816","LINC00964","ncRNA"
"ENSG00000228451","SDAD1P1","pseudo"
"ENSG00000121039","RDH10","protein-coding"
"ENSG00000236939","BAALC-AS2","ncRNA"
"ENSG00000186106","ANKRD46","protein-coding"
"ENSG00000171320","ESCO2","protein-coding"
"ENSG00000214050","FBXO16","protein-coding"
"ENSG00000253230","MIR124-1HG","ncRNA"
"ENSG00000168672","LRATD2","protein-coding"
"ENSG00000156172","C8orf37","protein-coding"
"ENSG00000132549","VPS13B","protein-coding"
"ENSG00000182366","FAM87A","ncRNA"
"ENSG00000180190","TDRP","protein-coding"
"ENSG00000104714","ERICH1","protein-coding"
"ENSG00000164893","SLC7A13","protein-coding"
"ENSG00000154316","TDH","pseudo"
"ENSG00000164841","TMEM74","protein-coding"
"ENSG00000176853","FAM91A1","protein-coding"
"ENSG00000164743","C8orf48","protein-coding"
"ENSG00000178460","MCMDC2","protein-coding"
"ENSG00000177182","CLVS1","protein-coding"
"ENSG00000165066","NKX6-3","protein-coding"
"ENSG00000215262","KCNU1","protein-coding"
"ENSG00000164764","SBSPON","protein-coding"
"ENSG00000130559","CAMSAP1","protein-coding"
"ENSG00000183784","DOCK8-AS1","ncRNA"
"ENSG00000283945","LINC00032","ncRNA"
"ENSG00000174482","LINGO2","protein-coding"
"ENSG00000130045","NXNL2","protein-coding"
"ENSG00000177943","MAMDC4","protein-coding"
"ENSG00000267206","LCN6","protein-coding"
"ENSG00000165695","AK8","protein-coding"
"ENSG00000165202","OR1Q1","protein-coding"
"ENSG00000175764","TTLL11","protein-coding"
"ENSG00000165105","RASEF","protein-coding"
"ENSG00000099251","HSD17B7P2","pseudo"
"ENSG00000155158","TTC39B","protein-coding"
"ENSG00000165275","TRMT10B","protein-coding"
"ENSG00000167094","TTC16","protein-coding"
"ENSG00000230262","LINC02603","ncRNA"
"ENSG00000188938","FAM120AOS","protein-coding"
"ENSG00000155875","SAXO1","protein-coding"
"ENSG00000164946","FREM1","protein-coding"
"ENSG00000183354","KIAA2026","protein-coding"
"ENSG00000235387","SPAAR","protein-coding"
"ENSG00000179766","ATP8B5P","pseudo"
"ENSG00000173258","ZNF483","protein-coding"
"ENSG00000165181","SHOC1","protein-coding"
"ENSG00000165185","KIAA1958","protein-coding"
"ENSG00000136925","TSTD2","protein-coding"
"ENSG00000196597","ZNF782","protein-coding"
"ENSG00000275465","LOC158434","ncRNA"
"ENSG00000106772","PRUNE2","protein-coding"
"ENSG00000175809","CBLL2","protein-coding"
"ENSG00000198930","CSAG1","protein-coding"
"ENSG00000176988","FMR1NB","protein-coding"
"ENSG00000234390","USP27X-AS1","ncRNA"
"ENSG00000165591","FAAH2","protein-coding"
"ENSG00000198455","ZXDB","protein-coding"
"ENSG00000185448","FAM47A","protein-coding"
"ENSG00000130150","MOSPD2","protein-coding"
"ENSG00000147256","ARHGAP36","protein-coding"
"ENSG00000158423","RIBC1","protein-coding"
"ENSG00000186471","AKAP14","protein-coding"
"ENSG00000101883","RHOXF1","protein-coding"
"ENSG00000233382","NKAPP1","pseudo"
"ENSG00000176746","MAGEB6","protein-coding"
"ENSG00000204165","CXorf65","protein-coding"
"ENSG00000204195","AWAT1","protein-coding"
"ENSG00000147160","AWAT2","protein-coding"
"ENSG00000102383","ZDHHC15","protein-coding"
"ENSG00000247746","USP51","protein-coding"
"ENSG00000204071","TCEAL6","protein-coding"
"ENSG00000197180","CH17-340M24.3","ncRNA"
"ENSG00000123569","H2BW1","protein-coding"
"ENSG00000185753","CXorf38","protein-coding"
"ENSG00000156504","FAM122B","protein-coding"
"ENSG00000156500","FAM122C","protein-coding"
"ENSG00000169953","HSFY2","protein-coding"
"ENSG00000223637","RBMY2EP","pseudo"
"ENSG00000243040","RBMY2FP","pseudo"
"ENSG00000169800","RBMY1F","protein-coding"
"ENSG00000166348","USP54","protein-coding"
"ENSG00000119919","NKX2-3","protein-coding"
"ENSG00000176273","SLC35G1","protein-coding"
"ENSG00000120051","CFAP58","protein-coding"
"ENSG00000148942","SLC5A12","protein-coding"
"ENSG00000165325","DEUP1","protein-coding"
"ENSG00000171053","PATE1","protein-coding"
"ENSG00000166323","C11orf65","protein-coding"
"ENSG00000166800","LDHAL6A","protein-coding"
"ENSG00000180878","C11orf42","protein-coding"
"ENSG00000216306","KRT19P2","pseudo"
"ENSG00000179104","TMTC2","protein-coding"
"ENSG00000172322","CLEC12A","protein-coding"
"ENSG00000184293","CLECL1","protein-coding"
"ENSG00000139324","TMTC3","protein-coding"
"ENSG00000165805","C12orf50","protein-coding"
"ENSG00000136010","ALDH1L2","protein-coding"
"ENSG00000152936","LMNTD1","protein-coding"
"ENSG00000170456","DENND5B","protein-coding"
"ENSG00000161835","GRASP","protein-coding"
"ENSG00000256870","SLC5A8","protein-coding"
"ENSG00000196850","PPTC7","protein-coding"
"ENSG00000173093","CCDC63","protein-coding"
"ENSG00000183273","CCDC60","protein-coding"
"ENSG00000102780","DGKH","protein-coding"
"ENSG00000151773","CCDC122","protein-coding"
"ENSG00000152749","GPR180","protein-coding"
"ENSG00000133115","STOML3","protein-coding"
"ENSG00000172717","FAM71D","protein-coding"
"ENSG00000198133","TMEM229B","protein-coding"
"ENSG00000259062","ACTN1-AS1","ncRNA"
"ENSG00000176438","SYNE3","protein-coding"
"ENSG00000176435","CLEC14A","protein-coding"
"ENSG00000139914","FITM1","protein-coding"
"ENSG00000139890","REM2","protein-coding"
"ENSG00000182107","TMEM30B","protein-coding"
"ENSG00000258955","LINC00519","ncRNA"
"ENSG00000139915","MDGA2","protein-coding"
"ENSG00000100583","SAMD15","protein-coding"
"ENSG00000196943","NOP9","protein-coding"
"ENSG00000165521","EML5","protein-coding"
"ENSG00000242866","STRC","protein-coding"
"ENSG00000156206","CFAP161","protein-coding"
"ENSG00000167139","TBC1D21","protein-coding"
"ENSG00000256061","DNAAF4","protein-coding"
"ENSG00000169918","OTUD7A","protein-coding"
"ENSG00000166068","SPRED1","protein-coding"
"ENSG00000182950","ODF3L1","protein-coding"
"ENSG00000182405","PGBD4","protein-coding"
"ENSG00000168803","ADAL","protein-coding"
"ENSG00000178997","EXD1","protein-coding"
"ENSG00000150667","FSIP1","protein-coding"
"ENSG00000179588","ZFPM1","protein-coding"
"ENSG00000140955","ADAD2","protein-coding"
"ENSG00000205730","ITPRIPL2","protein-coding"
"ENSG00000234186","C16orf82","protein-coding"
"ENSG00000184517","ZFP1","protein-coding"
"ENSG00000153930","ANKFN1","protein-coding"
"ENSG00000173838","MARCHF10","protein-coding"
"ENSG00000185156","MFSD6L","protein-coding"
"ENSG00000166750","SLFN5","protein-coding"
"ENSG00000161653","NAGS","protein-coding"
"ENSG00000141699","RETREG3","protein-coding"
"ENSG00000167105","TMEM92","protein-coding"
"ENSG00000173868","PHOSPHO1","protein-coding"
"ENSG00000141314","RHBDL3","protein-coding"
"ENSG00000167723","TRPV3","protein-coding"
"ENSG00000174326","SLC16A11","protein-coding"
"ENSG00000177294","FBXO39","protein-coding"
"ENSG00000185294","SPPL2C","protein-coding"
"ENSG00000173908","KRT28","protein-coding"
"ENSG00000188933","USP32P1","pseudo"
"ENSG00000175322","ZNF519","protein-coding"
"ENSG00000166845","C18orf54","protein-coding"
"ENSG00000274744","ELOA3","protein-coding"
"ENSG00000196267","ZNF836","protein-coding"
"ENSG00000167554","ZNF610","protein-coding"
"ENSG00000189190","ZNF600","protein-coding"
"ENSG00000182986","ZNF320","protein-coding"
"ENSG00000174586","ZNF497","protein-coding"
"ENSG00000251369","ZNF550","protein-coding"
"ENSG00000170684","ZNF296","protein-coding"
"ENSG00000160570","DEDD2","protein-coding"
"ENSG00000196605","ZNF846","protein-coding"
"ENSG00000188000","OR7D2","protein-coding"
"ENSG00000218891","ZNF579","protein-coding"
"ENSG00000173875","ZNF791","protein-coding"
"ENSG00000249709","ZNF564","protein-coding"
"ENSG00000242852","ZNF709","protein-coding"
"ENSG00000197647","ZNF433","protein-coding"
"ENSG00000178150","ZNF114","protein-coding"
"ENSG00000189042","ZNF567","protein-coding"
"ENSG00000188283","ZNF383","protein-coding"
"ENSG00000196381","ZNF781","protein-coding"
"ENSG00000176396","EID2","protein-coding"
"ENSG00000128000","ZNF780B","protein-coding"
"ENSG00000212123","PRR22","protein-coding"
"ENSG00000153902","LGI4","protein-coding"
"ENSG00000181392","SYNE4","protein-coding"
"ENSG00000196109","ZNF676","protein-coding"
"ENSG00000197020","ZNF100","protein-coding"
"ENSG00000171817","ZNF540","protein-coding"
"ENSG00000175984","DENND2C","protein-coding"
"ENSG00000183347","GBP6","protein-coding"
"ENSG00000117598","PLPPR5","protein-coding"
"ENSG00000143107","FNDC7","protein-coding"
"ENSG00000213047","DENND1B","protein-coding"
"ENSG00000162782","TDRD5","protein-coding"
"ENSG00000169905","TOR1AIP2","protein-coding"
"ENSG00000169885","CALML6","protein-coding"
"ENSG00000185436","IFNLR1","protein-coding"
"ENSG00000154198","CYP4Z2P","pseudo"
"ENSG00000179862","CITED4","protein-coding"
"ENSG00000236253","SLC25A3P1","pseudo"
"ENSG00000162398","LEXM","protein-coding"
"ENSG00000184148","SPRR4","protein-coding"
"ENSG00000132854","KANK4","protein-coding"
"ENSG00000156876","SASS6","protein-coding"
"ENSG00000143751","SDE2","protein-coding"
"ENSG00000162852","CNST","protein-coding"
"ENSG00000183114","FAM43B","protein-coding"
"ENSG00000162669","HFM1","protein-coding"
"ENSG00000182749","PAQR7","protein-coding"
"ENSG00000187862","TTC24","protein-coding"
"ENSG00000178395","CCDC185","protein-coding"
"ENSG00000186150","UBL4B","protein-coding"
"ENSG00000168634","WFDC13","protein-coding"
"ENSG00000198768","APCDD1L","protein-coding"
"ENSG00000125872","LRRN4","protein-coding"
"ENSG00000204663","CST13P","pseudo"
"ENSG00000131044","TTLL9","protein-coding"
"ENSG00000161180","CCDC116","protein-coding"
"ENSG00000100314","CABP7","protein-coding"
"ENSG00000187045","TMPRSS6","protein-coding"
"ENSG00000100298","APOBEC3H","protein-coding"
"ENSG00000183066","WBP2NL","protein-coding"
"ENSG00000138892","TTLL8","protein-coding"
"ENSG00000123977","DAW1","protein-coding"
"ENSG00000170500","LONRF2","protein-coding"
"ENSG00000163006","CCDC138","protein-coding"
"ENSG00000173567","ADGRF3","protein-coding"
"ENSG00000177673","TEX44","protein-coding"
"ENSG00000162881","OXER1","protein-coding"
"ENSG00000189350","TOGARAM2","protein-coding"
"ENSG00000144369","FAM171B","protein-coding"
"ENSG00000144119","C1QL2","protein-coding"
"ENSG00000173960","UBXN2A","protein-coding"
"ENSG00000152672","CLEC4F","protein-coding"
"ENSG00000144045","DQX1","protein-coding"
"ENSG00000173200","PARP15","protein-coding"
"ENSG00000196542","SPTSSB","protein-coding"
"ENSG00000179407","DNAJB8","protein-coding"
"ENSG00000175697","GPR156","protein-coding"
"ENSG00000168334","XIRP1","protein-coding"
"ENSG00000163961","RNF168","protein-coding"
"ENSG00000180767","CHST13","protein-coding"
"ENSG00000163637","PRICKLE2","protein-coding"
"ENSG00000187715","KBTBD12","protein-coding"
"ENSG00000145375","SPATA5","protein-coding"
"ENSG00000181004","BBS12","protein-coding"
"ENSG00000170390","DCLK2","protein-coding"
"ENSG00000152990","ADGRA3","protein-coding"
"ENSG00000176979","TRIM60","protein-coding"
"ENSG00000183090","FREM3","protein-coding"
"ENSG00000151611","MMAA","protein-coding"
"ENSG00000168826","ZBTB49","protein-coding"
"ENSG00000180346","TIGD2","protein-coding"
"ENSG00000169435","RASSF6","protein-coding"
"ENSG00000151962","RBM46","protein-coding"
"ENSG00000164023","SGMS2","protein-coding"
"ENSG00000155545","MIER3","protein-coding"
"ENSG00000164287","CDC20B","protein-coding"
"ENSG00000168671","UGT3A2","protein-coding"
"ENSG00000164329","TENT2","protein-coding"
"ENSG00000172795","DCP2","protein-coding"
"ENSG00000177453","NIM1K","protein-coding"
"ENSG00000145721","LIX1","protein-coding"
"ENSG00000178175","ZNF366","protein-coding"
"ENSG00000152380","FAM151B","protein-coding"
"ENSG00000146250","PRSS35","protein-coding"
"ENSG00000135338","LCA5","protein-coding"
"ENSG00000177468","OLIG3","protein-coding"
"ENSG00000164440","TXLNB","protein-coding"
"ENSG00000164488","DACT2","protein-coding"
"ENSG00000112539","C6orf118","protein-coding"
"ENSG00000146757","ZNF92","protein-coding"
"ENSG00000106648","GALNTL5","protein-coding"
"ENSG00000184735","DDX53","protein-coding"
"ENSG00000197123","ZNF679","protein-coding"
"ENSG00000188050","RNF133","protein-coding"
"ENSG00000218305","CDC14C","protein-coding"
"ENSG00000177683","THAP5","protein-coding"
"ENSG00000253276","CCDC71L","protein-coding"
"ENSG00000158683","PKD1L1","protein-coding"
"ENSG00000179144","GIMAP7","protein-coding"
"ENSG00000181444","ZNF467","protein-coding"
"ENSG00000180535","BHLHA15","protein-coding"
"ENSG00000164619","BMPER","protein-coding"
"ENSG00000048405","ZNF800","protein-coding"
"ENSG00000176571","CNBD1","protein-coding"
"ENSG00000164756","SLC30A8","protein-coding"
"ENSG00000169436","COL22A1","protein-coding"
"ENSG00000174226","SNX31","protein-coding"
"ENSG00000180694","TMEM64","protein-coding"
"ENSG00000172748","ZNF596","protein-coding"
"ENSG00000188676","IDO2","protein-coding"
"ENSG00000198870","STKLD1","protein-coding"
"ENSG00000168263","KCNV2","protein-coding"
"ENSG00000185585","OLFML2A","protein-coding"
"ENSG00000181778","TMEM252","protein-coding"
"ENSG00000165661","QSOX2","protein-coding"
"ENSG00000107249","GLIS3","protein-coding"
"ENSG00000285447","ZNF883","protein-coding"
"ENSG00000175787","ZNF169","protein-coding"
"ENSG00000174016","TENT5D","protein-coding"
"ENSG00000204271","SPIN3","protein-coding"
"ENSG00000189132","FAM47B","protein-coding"
"ENSG00000176896","TCEANC","protein-coding"
"ENSG00000174460","ZCCHC12","protein-coding"
"ENSG00000004848","ARX","protein-coding"
"ENSG00000172538","FAM170B","protein-coding"
"ENSG00000204161","TMEM273","protein-coding"
"ENSG00000196968","FUT11","protein-coding"
"ENSG00000138315","OIT3","protein-coding"
"ENSG00000171813","PWWP2B","protein-coding"
"ENSG00000229404","LINC00858","ncRNA"
"ENSG00000130511","SSBP4","protein-coding"
"ENSG00000198178","CLEC4C","protein-coding"
"ENSG00000182584","ACTL10","protein-coding"
"ENSG00000174953","DHX36","protein-coding"
"ENSG00000178084","HTR3C","protein-coding"
"ENSG00000213203","GIMAP1","protein-coding"
"ENSG00000149735","GPHA2","protein-coding"
"ENSG00000171643","S100Z","protein-coding"
"ENSG00000188243","COMMD6","protein-coding"
"ENSG00000171402","XAGE3","protein-coding"
"ENSG00000171405","XAGE5","protein-coding"
"ENSG00000204540","PSORS1C1","protein-coding"
"ENSG00000204538","PSORS1C2","protein-coding"
"ENSG00000122824","NUDT10","protein-coding"
"ENSG00000166106","ADAMTS15","protein-coding"
"ENSG00000145536","ADAMTS16","protein-coding"
"ENSG00000140470","ADAMTS17","protein-coding"
"ENSG00000140873","ADAMTS18","protein-coding"
"ENSG00000170516","COX7B2","protein-coding"
"ENSG00000180613","GSX2","protein-coding"
"ENSG00000171126","KCNG3","protein-coding"
"ENSG00000215378","DEFT1P","pseudo"
"ENSG00000146112","PPP1R18","protein-coding"
"ENSG00000203326","ZNF525","protein-coding"
"ENSG00000196705","ZNF431","protein-coding"
"ENSG00000182903","ZNF721","protein-coding"
"ENSG00000089847","ANKRD24","protein-coding"
"ENSG00000126746","ZNF384","protein-coding"
"ENSG00000145808","ADAMTS19","protein-coding"
"ENSG00000171456","ASXL1","protein-coding"
"ENSG00000172403","SYNPO2","protein-coding"
"ENSG00000177202","SPACA4","protein-coding"
"ENSG00000104140","RHOV","protein-coding"
"ENSG00000248593","DSTNP2","pseudo"
"ENSG00000236444","UBE2L5","protein-coding"
"ENSG00000174885","NLRP6","protein-coding"
"ENSG00000255284","LOC171391","ncRNA"
"ENSG00000197372","ZNF675","protein-coding"
"ENSG00000125246","CLYBL","protein-coding"
"ENSG00000183304","FAM9A","protein-coding"
"ENSG00000177138","FAM9B","protein-coding"
"ENSG00000187268","FAM9C","protein-coding"
"ENSG00000233622","CYP2T1P","pseudo"
"ENSG00000165389","SPTSSA","protein-coding"
"ENSG00000171611","PTCRA","protein-coding"
"ENSG00000100413","POLR3H","protein-coding"
